user_pseudo_id,item_id,item_name,price_in_usd,price,quantity,item_revenue_in_usd,item_revenue,event_date,event_timestamp,country,region,mobile_brand_name,mobile_model_name
1685178.0670336190,9196606,Google Badge Heavyweight Pullover Black,46,46,1,46,46,20201121,1605919873212069,United States,Virginia,Samsung,<Other>
3442489.8686924691,9195130,Google Zip Hoodie F/C,48,48,1,48,48,20201121,1605945116901789,United States,California,Apple,iPhone
3442489.8686924691,9195130,Google Zip Hoodie F/C,48,48,1,48,48,20201121,1605945116787255,United States,California,Apple,iPhone
3526931.3784502135,9196603,Google Badge Heavyweight Pullover Black,46,46,1,46,46,20201121,1605931943363881,India,Maharashtra,Apple,iPhone
3526931.3784502135,9196603,Google Badge Heavyweight Pullover Black,46,46,1,46,46,20201121,1605931943329861,India,Maharashtra,Apple,iPhone
8292508.2728920265,9195227,Google Youth FC Tee Charcoal,25,25,2,50,50,20201121,1605949602799925,United States,Arkansas,<Other>,<Other>
8292508.2728920265,9195227,Google Youth FC Tee Charcoal,25,25,2,50,50,20201121,1605949602812033,United States,Arkansas,<Other>,<Other>
8693458.9667648603,9188192,YouTube Twill Sandwich Cap Black,13,13,1,13,13,20201121,1605967399166044,Japan,(not set),Apple,Safari
8693458.9667648603,9188192,YouTube Twill Sandwich Cap Black,13,13,1,13,13,20201121,1605967399202299,Japan,(not set),Apple,Safari
29060616.4029163657,9188192,YouTube Twill Sandwich Cap Black,13,13,2,26,26,20201121,1605981026866720,United States,Massachusetts,Apple,iPhone
29060616.4029163657,9188192,YouTube Twill Sandwich Cap Black,13,13,2,26,26,20201121,1605981026867730,United States,Massachusetts,Apple,iPhone
77276609.4416542415,9197370,Google Infant Hero Tee Olive,14,14,1,14,14,20201121,1605980306302058,United Kingdom,England,Apple,iPhone
77276609.4416542415,9197370,Google Infant Hero Tee Olive,14,14,1,14,14,20201121,1605980306344400,United Kingdom,England,Apple,iPhone
90326169.4943785433,9195971,Google Chrome Dinosaur Collectible,30,30,1,30,30,20201121,1605918100082683,United States,Florida,Apple,iPhone
90326169.4943785433,9195971,Google Chrome Dinosaur Collectible,30,30,1,30,30,20201121,1605918100086907,United States,Florida,Apple,iPhone
5039183135.2699720432,9195140,Google Utility BackPack,120,120,1,120,120,20201121,1605985488943609,United States,Texas,Google,Chrome
5039183135.2699720432,9195140,Google Utility BackPack,120,120,1,120,120,20201121,1605985488949883,United States,Texas,Google,Chrome
4375573.9072744837,9196861,Google Cork Journal,7,7,1,7,7,20201121,1605973305286414,Russia,Moscow Oblast,Google,Chrome
4375573.9072744837,9195550,Google Unisex Eco Tee Black,18,18,1,18,18,20201121,1605973305286414,Russia,Moscow Oblast,Google,Chrome
4375573.9072744837,9195550,Google Unisex Eco Tee Black,18,18,1,18,18,20201121,1605973305315715,Russia,Moscow Oblast,Google,Chrome
4375573.9072744837,9196861,Google Cork Journal,7,7,1,7,7,20201121,1605973305315715,Russia,Moscow Oblast,Google,Chrome
4928525.8378184452,9199082,Google Land & Sea Tote Bag,16,16,2,32,32,20201121,1605932665907311,India,Bihar,Samsung,<Other>
4928525.8378184452,9195709,Google Leather Strap Hat Blue,14,14,1,14,14,20201121,1605932665907311,India,Bihar,Samsung,<Other>
4928525.8378184452,9199082,Google Land & Sea Tote Bag,16,16,2,32,32,20201121,1605932665951783,India,Bihar,Samsung,<Other>
4928525.8378184452,9195709,Google Leather Strap Hat Blue,14,14,1,14,14,20201121,1605932665951783,India,Bihar,Samsung,<Other>
7305312.0773204883,9196440,Stan and Friends Toddler Tee Green,14,14,1,14,14,20201121,1605967801201093,United States,Texas,<Other>,<Other>
7305312.0773204883,9196448,Google Beekeepers Toddler Tee Pink,14,14,1,14,14,20201121,1605967801201093,United States,Texas,<Other>,<Other>
7305312.0773204883,9196440,Stan and Friends Toddler Tee Green,14,14,1,14,14,20201121,1605967801172312,United States,Texas,<Other>,<Other>
7305312.0773204883,9196448,Google Beekeepers Toddler Tee Pink,14,14,1,14,14,20201121,1605967801172312,United States,Texas,<Other>,<Other>
8337415.6051453076,9196274,YouTube Transmission Journal Red,16,16,1,16,16,20201121,1605926488651763,France,Nouvelle-Aquitaine,Google,ChromeBook
8337415.6051453076,9195712,YouTube Leather Strap Hat Black,12,12,1,12,12,20201121,1605926488651763,France,Nouvelle-Aquitaine,Google,ChromeBook
8337415.6051453076,9196274,YouTube Transmission Journal Red,16,16,1,16,16,20201121,1605926488627010,France,Nouvelle-Aquitaine,Google,ChromeBook
8337415.6051453076,9195712,YouTube Leather Strap Hat Black,12,12,1,12,12,20201121,1605926488627010,France,Nouvelle-Aquitaine,Google,ChromeBook
9397545.7933031135,9195881,Unisex Google Pocket Tee Grey,20,20,1,20,20,20201121,1606000568841883,Macao,(not set),<Other>,<Other>
9397545.7933031135,9196805,Android Pocket Tee Green,29,29,1,29,29,20201121,1606000568841883,Macao,(not set),<Other>,<Other>
9397545.7933031135,9196805,Android Pocket Tee Green,29,29,1,29,29,20201121,1606000568876616,Macao,(not set),<Other>,<Other>
9397545.7933031135,9195881,Unisex Google Pocket Tee Grey,20,20,1,20,20,20201121,1606000568876616,Macao,(not set),<Other>,<Other>
54050361.8478898304,9196706,Google Cup Cap Tumbler Grey,24,24,1,24,24,20201121,1605941636186798,Australia,New South Wales,Apple,Safari
54050361.8478898304,9195939,Google Campus Bike Grid Task Pad,10,10,1,10,10,20201121,1605941636186798,Australia,New South Wales,Apple,Safari
54050361.8478898304,9195939,Google Campus Bike Grid Task Pad,10,10,1,10,10,20201121,1605941636237262,Australia,New South Wales,Apple,Safari
54050361.8478898304,9196706,Google Cup Cap Tumbler Grey,24,24,1,24,24,20201121,1605941636237262,Australia,New South Wales,Apple,Safari
56660152.7616232682,9190330,Google Crew Socks,16,16,1,16,16,20201121,1605950745391945,France,Ile-de-France,Apple,iPad
56660152.7616232682,9180865,Google Metallic Notebook Set,6,6,1,6,6,20201121,1605950745391945,France,Ile-de-France,Apple,iPad
56660152.7616232682,9180865,Google Metallic Notebook Set,6,6,1,6,6,20201121,1605950745315284,France,Ile-de-France,Apple,iPad
56660152.7616232682,9190330,Google Crew Socks,16,16,1,16,16,20201121,1605950745315284,France,Ile-de-France,Apple,iPad
72370889.4274312461,9195294,Snowflake Android Cardboard Sculpture,8,8,2,16,16,20201121,1605951076997279,United States,Florida,Google,Chrome
72370889.4274312461,9195359,Noogler Android Figure,13,13,2,26,26,20201121,1605951076997279,United States,Florida,Google,Chrome
72370889.4274312461,9195359,Noogler Android Figure,13,13,2,26,26,20201121,1605951076974743,United States,Florida,Google,Chrome
72370889.4274312461,9195294,Snowflake Android Cardboard Sculpture,8,8,2,16,16,20201121,1605951076974743,United States,Florida,Google,Chrome
1052482.1904194731,9199130,Super G Unisex Joggers,30,30,1,30,30,20201121,1605942465523353,United States,Connecticut,Google,Chrome
